Account,Organization,Program,Transaction Date,Type,Document,Description,Commit Type,Fund,Column1,Column2,Activity Date,Field,Amount,Increase/Decrease,FY,Account Category,Account Desc
101110,31200,103,8/2/2021 19:43,CHS1,F0125203,Horatio Alger Res Tuition,U,139021,,,8/2/2021 23:59,YTD,42.27,+,2022,Revenue,UG Resid Tuition
101110,31200,103,7/30/2021 10:34,R03,F0125130,Establish FY 21-22 Budget,U,139021,,,7/30/2021 10:00,OBD,966,+,2022,Revenue,UG Resid Tuition
101111,31230,103,6/6/2022 19:50,CHS1,F0134552,IMBA Resident Tuition,U,139020,,,6/6/2022 23:59,YTD,-400,-,2022,Revenue,Grad Res Tuition
101111,31230,103,6/6/2022 19:50,CHS1,F0134552,IMBA Resident Tuition,U,139020,,,6/6/2022 23:59,YTD,262.17,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/26/2022 19:44,CHS1,F0134217,IMBA Resident Tuition,U,139020,,,5/26/2022 23:59,YTD,462.64,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/25/2022 19:47,CHS1,F0134108,IMBA Resident Tuition,U,139020,,,5/25/2022 23:59,YTD,262.17,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/18/2022 19:45,CHS1,F0133871,IMBA Resident Tuition,U,139020,,,5/18/2022 23:59,YTD,786.51,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/13/2022 19:48,CHS1,F0133702,IMBA Resident Tuition,U,139020,,,5/13/2022 23:59,YTD,-262.17,-,2022,Revenue,Grad Res Tuition
101111,31230,103,5/13/2022 19:48,CHS1,F0133702,IMBA Resident Tuition,U,139020,,,5/13/2022 23:59,YTD,262.17,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/12/2022 19:45,CHS1,F0133656,IMBA Resident Tuition,U,139020,,,5/12/2022 23:59,YTD,-262.17,-,2022,Revenue,Grad Res Tuition
101111,31230,103,5/12/2022 12:32,JE16,F0133624,Correct Fall IMBA Program Cost,U,139020,,,5/12/2022 12:30,YTD,11875.5,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/12/2022 11:29,JE16,J0160916,Reversal F0133353 D/C error,U,139020,,,5/5/2022 23:59,YTD,11875.5,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/6/2022 19:45,CHS1,F0133414,IMBA Resident Tuition,U,139020,,,5/6/2022 23:59,YTD,262.17,+,2022,Revenue,Grad Res Tuition
101111,31230,103,5/5/2022 12:32,JE16,F0133353,Correct Fall IMBA Program Cost,U,139020,,,5/5/2022 12:00,YTD,-11875.5,-,2022,Revenue,Grad Res Tuition
101111,31230,103,4/29/2022 14:29,JE16,J0160508,Reverse F0127381,U,139020,,,4/29/2022 14:24,YTD,11875.5,+,2022,Revenue,Grad Res Tuition
101111,31230,103,3/22/2022 10:32,R03,F0131930,Increase budget to match actual,U,139020,,,3/22/2022 10:00,OBD,50891,+,2022,Revenue,Grad Res Tuition
101111,31230,103,3/22/2022 10:32,R03,F0131930,ReverseF0131514,U,139020,,,3/22/2022 10:00,OBD,-50891,-,2022,Revenue,Grad Res Tuition
101111,31230,103,3/21/2022 20:05,CHS1,F0131910,IMBA Program,U,139020,,,3/21/2022 23:59,YTD,-4665.38,-,2022,Revenue,Grad Res Tuition
101111,31230,103,3/8/2022 14:32,R03,F0131514,Increase budget to match actual,U,139020,,,3/8/2022 14:30,OBD,50891,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/28/2022 16:02,CHS1,F0131230,IMBA Resident Tuition,U,139020,,,2/28/2022 23:59,YTD,400,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/25/2022 19:47,CHS1,F0131213,IMBA Resident Tuition,U,139020,,,2/25/2022 23:59,YTD,3800,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/25/2022 19:47,CHS1,F0131205,IMBA Program,U,139020,,,2/25/2022 23:59,YTD,4665.38,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/21/2022 19:50,CHS1,F0131042,IMBA Program,U,139020,,,2/21/2022 23:59,YTD,-4665.38,-,2022,Revenue,Grad Res Tuition
101111,31230,103,2/21/2022 19:47,CHS1,F0131028,IMBA Program,U,139020,,,2/21/2022 23:59,YTD,-4665.38,-,2022,Revenue,Grad Res Tuition
101111,31230,103,2/21/2022 19:47,CHS1,F0131028,IMBA Program,U,139020,,,2/21/2022 23:59,YTD,4665.38,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/18/2022 19:44,CHS1,F0130963,IMBA Program,U,139020,,,2/18/2022 23:59,YTD,-4665.38,-,2022,Revenue,Grad Res Tuition
101111,31230,103,2/18/2022 19:44,CHS1,F0130963,IMBA Program  -  corr,U,139020,,,2/18/2022 23:59,YTD,-4665.38,-,2022,Revenue,Grad Res Tuition
101111,31230,103,2/18/2022 19:44,CHS1,F0130963,IMBA Program,U,139020,,,2/18/2022 23:59,YTD,4665.38,+,2022,Revenue,Grad Res Tuition
101111,31230,103,2/1/2022 19:44,CHS1,F0130466,IMBA Program,U,139020,,,2/1/2022 23:59,YTD,18661.52,+,2022,Revenue,Grad Res Tuition
101111,31230,103,1/20/2022 19:56,CHS1,F0130042,IMBA Program,U,139020,,,1/20/2022 23:59,YTD,4665.38,+,2022,Revenue,Grad Res Tuition
101111,31230,103,1/14/2022 20:13,CHS1,F0129932,IMBA Program,U,139020,,,1/14/2022 23:59,YTD,4665.38,+,2022,Revenue,Grad Res Tuition
101111,31230,103,1/5/2022 20:20,CHS1,F0129633,IMBA Resident Tuition,U,139020,,,1/5/2022 23:59,YTD,524.34,+,2022,Revenue,Grad Res Tuition
101111,31230,103,12/14/2021 19:55,CHS1,F0129143,IMBA Resident Tuition,U,139020,,,12/14/2021 23:59,YTD,-262.17,-,2022,Revenue,Grad Res Tuition
101111,31230,103,12/3/2021 19:53,CHS1,F0128866,IMBA Resident Tuition,U,139020,,,12/3/2021 23:59,YTD,524.34,+,2022,Revenue,Grad Res Tuition
101111,31230,103,12/3/2021 19:53,CHS1,F0128866,IMBA Program,U,139020,,,12/3/2021 23:59,YTD,23326.9,+,2022,Revenue,Grad Res Tuition
101111,31230,103,10/14/2021 13:08,JE16,F0127381,Correct Fall IMBA Program Cost,U,139020,,,10/14/2021 13:05,YTD,-11875.5,-,2022,Revenue,Grad Res Tuition
101111,31230,103,10/13/2021 19:50,CHS1,F0127355,IMBA Program,U,139020,,,10/13/2021 23:59,YTD,-3817.13,-,2022,Revenue,Grad Res Tuition
101111,31230,103,9/17/2021 20:03,CHS1,F0126632,IMBA Program,U,139020,,,9/17/2021 23:59,YTD,-7634.26,-,2022,Revenue,Grad Res Tuition
101111,31230,103,9/8/2021 13:32,CHS1,F0126352,IMBA Program,U,139020,,,9/7/2021 23:59,YTD,-3817.13,-,2022,Revenue,Grad Res Tuition
101111,31230,103,8/25/2021 19:49,CHS1,F0125985,IMBA Resident Tuition,U,139020,,,8/25/2021 23:59,YTD,262.17,+,2022,Revenue,Grad Res Tuition
