Account,Organization,Program,Transaction Date,Type,Document,Description,Commit Type,Fund,Column1,Column2,Activity Date,Field,Amount,Increase/Decrease,FY,Account Category,Account Desc
101110,31200,103,5/5/2021 19:50,CHS1,F0122020,Horatio Alger Res Tuition,U,139021,,,5/5/2021 23:59,YTD,408.03,+,2021,Revenue,UG Resid Tuition
101110,31200,103,1/5/2021 20:05,CHS1,F0118472,Horatio Alger Res Tuition,U,139021,,,1/5/2021 23:59,YTD,-300.2,-,2021,Revenue,UG Resid Tuition
101110,31200,103,1/4/2021 20:09,CHS1,F0118445,Horatio Alger Res Tuition,U,139021,,,1/4/2021 23:59,YTD,-300.2,-,2021,Revenue,UG Resid Tuition
101110,31200,103,1/4/2021 20:09,CHS1,F0118445,Horatio Alger Res Tuition,U,139021,,,1/4/2021 23:59,YTD,300.2,+,2021,Revenue,UG Resid Tuition
101110,31200,103,12/8/2020 19:56,CHS1,F0117993,Horatio Alger Res Tuition,U,139021,,,12/8/2020 23:59,YTD,300.2,+,2021,Revenue,UG Resid Tuition
101110,31230,103,9/22/2020 14:35,R03,F0116068,Reverse F0115987,U,139020,,,9/22/2020 14:00,OBD,-858,-,2021,Revenue,UG Resid Tuition
101110,31200,103,9/22/2020 14:35,R03,F0116065,Correct F0115987,U,139021,,,9/22/2020 14:00,OBD,858,+,2021,Revenue,UG Resid Tuition
101110,31230,103,9/18/2020 16:35,R03,F0115987,Establish HA FY20-21 Budget,U,139020,,,9/18/2020 16:00,OBD,858,+,2021,Revenue,UG Resid Tuition
101110,31200,103,8/7/2020 9:16,CHS1,F0114327,Horatio Alger Res Tuition,U,139021,,,8/6/2020 23:59,YTD,150.1,+,2021,Revenue,UG Resid Tuition
101110,31200,103,8/7/2020 9:14,CHS1,F0114315,Horatio Alger Res Tuition,U,139021,,,8/6/2020 23:59,YTD,150.1,+,2021,Revenue,UG Resid Tuition
101110,31200,103,8/5/2020 22:35,CHS1,F0114144,Horatio Alger Res Tuition,U,139021,,,8/5/2020 23:59,YTD,-150.1,-,2021,Revenue,UG Resid Tuition
101110,31200,103,8/5/2020 22:34,CHS1,F0114139,Horatio Alger Res Tuition,U,139021,,,8/5/2020 23:59,YTD,-150.1,-,2021,Revenue,UG Resid Tuition
101110,31200,103,7/23/2020 19:44,CHS1,F0113616,Horatio Alger Res Tuition,U,139021,,,7/23/2020 23:59,YTD,300.2,+,2021,Revenue,UG Resid Tuition
101110,31200,103,7/8/2020 20:10,CHS1,F0113187,Horatio Alger Res Tuition,U,139021,,,7/8/2020 23:59,YTD,150.1,+,2021,Revenue,UG Resid Tuition
101110,31200,103,7/8/2020 20:10,CHS1,F0113184,Horatio Alger Res Tuition,U,139021,,,7/8/2020 23:59,YTD,150.1,+,2021,Revenue,UG Resid Tuition
101110,31200,103,7/8/2020 20:06,CHS1,F0113151,Horatio Alger Res Tuition,U,139021,,,7/8/2020 23:59,YTD,-300.2,-,2021,Revenue,UG Resid Tuition
101111,31230,103,5/20/2021 14:35,R03,F0122588,decrease grad resident budget,U,139020,,,5/20/2021 14:00,OBD,-7248,-,2021,Revenue,Grad Res Tuition
101111,31230,103,4/22/2021 23:43,CHS1,F0121680,IMBA Resident Tuition,U,139020,,,4/22/2021 23:59,YTD,231.32,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/29/2021 20:12,CHS1,F0119211,IMBA Resident Tuition,U,139020,,,1/29/2021 23:59,YTD,231.32,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/29/2021 20:12,CHS1,F0119211,IMBA Program,U,139020,,,1/29/2021 23:59,YTD,8294,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/25/2021 20:13,CHS1,F0119049,IMBA Program,U,139020,,,1/25/2021 23:59,YTD,8294,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/25/2021 20:13,CHS1,F0119048,IMBA Program,U,139020,,,1/25/2021 23:59,YTD,4147,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/18/2021 20:11,CHS1,F0118836,IMBA Program,U,139020,,,1/18/2021 23:59,YTD,4147,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/18/2021 20:11,CHS1,F0118835,IMBA Program,U,139020,,,1/18/2021 23:59,YTD,8294,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/15/2021 20:18,CHS1,F0118821,IMBA Program,U,139020,,,1/15/2021 23:59,YTD,16588,+,2021,Revenue,Grad Res Tuition
101111,31230,103,1/5/2021 20:05,CHS1,F0118472,IMBA Resident Tuition,U,139020,,,1/5/2021 23:59,YTD,-693.96,-,2021,Revenue,Grad Res Tuition
101111,31230,103,12/18/2020 19:59,CHS1,F0118275,IMBA Resident Tuition,U,139020,,,12/18/2020 23:59,YTD,231.32,+,2021,Revenue,Grad Res Tuition
